year;niveau;deleg;codedel;nbetabli;1ann;2ann;3ann;4ann;5ann;6ann;student;class;prep;densite;enf;groupe;enseignant;ref_tn_cod;lat;lon;nom;per nouv 1 ayant ben AP;;per section lettre;per section math;per section science;per section tech;per section info;per section eco;per section sport
2022/2023;Cycle Preparatoire(G)& Enseignement Secondaire;El  Oueslatia;8131;5;;;;;;;2662;105;;25,35;;;174;TN415;;;;;;108;14;38;38;0;103;0
2022/2023;Cycle Preparatoire(G)& Enseignement Secondaire;Ain jloula;8132;2;;;;;;;670;30;;22,33;;;42;TN420;;;;;;28;0;22;0;0;38;0
2022/2023;Cycle Preparatoire(G)& Enseignement Secondaire;El Ala;8134;6;;;;;;;2297;95;;24,18;;;149;TN417;;;;;;102;7;40;0;0;94;0
2022/2023;Cycle Preparatoire(G)& Enseignement Secondaire;Haffouz;8136;5;;;;;;;3888;141;;27,57;;;272;TN416;;;;;;75;32;37;71;6;206;0
2022/2023;Cycle Preparatoire(G)& Enseignement Secondaire;Hajeb El Ayoun;8141;5;;;;;;;3189;108;;29,53;;;227;TN418;;;;;;87;8;40;83;0;106;0
2022/2023;Cycle Preparatoire(G)& Enseignement Secondaire;Nasrallah;8146;6;;;;;;;2790;115;;24,26;;;185;TN419;;;;;;56;7;81;41;0;218;0
2022/2023;Cycle Preparatoire(G)& Enseignement Secondaire;Manzel mhiri;8147;2;;;;;;;574;20;;28,7;;;85;TN421;;;;;;0;0;0;0;0;0;0
2022/2023;Cycle Preparatoire(G)& Enseignement Secondaire;Bouhajla;8151;6;;;;;;;4421;158;;27,98;;;349;TN41B;;;;;;42;6;42;94;0;86;0
2022/2023;Cycle Preparatoire(G)& Enseignement Secondaire;Echrarda;8156;4;;;;;;;2363;93;;25,41;;;161;TN41A;;;;;;63;9;20;0;28;41;0
2021/2022;Cycle Preparatoire(G)& Enseignement Secondaire;Kairaouan Nord;8121;11;;;;;;;6179;232;;26,63;;;1147;TN411;;;;;;90;69;132;125;19;163;0
2021/2022;Cycle Preparatoire(G)& Enseignement Secondaire;Kairouan Sud;8122;14;;;;;;;10368;410;;25,29;;;302;TN412;;;;;;231;93;302;173;85;566;72
